name,state,city
University of Alaska Anchorage,AK,Anchorage
University of Alaska Fairbanks,AK,Fairbanks
University of Alaska Southeast,AK,Juneau
Alaska Pacific University,AK,Anchorage
Alaska Vocational Technical Center,AK,Seward
Charter College,AK,Anchorage
Prince William Sound Community College,AK,Valdez
Sheldon Jackson College,AK,Sitka
Career Academy,AK,Anchorage
Ilisagvik College,AK,Barrow
Galena City Schools,AK,Galena
Alaska Bible College,AK,Glennallen
Alaska Eye Care Centers Residency in Contact Lens and Primary Care,AK,Anchorage
Alaska Christian College,AK,Soldotna
Southcentral Foundation - Alaska Native Medical Dental General Practice Residency 24 Months,AK,Anchorage
Providence Alaska Medical Center,AK,Anchorage
University of Alaska Anchorage Dietetic Internship,AK,Anchorage
Alaska VA Healthcare System Psychology Internship,AK,Anchorage
Community College of the Air Force,AL,Montgomery
Alabama A & M University,AL,Normal
University of Alabama at Birmingham,AL,Birmingham
Amridge University,AL,Montgomery
University of Alabama in Huntsville,AL,Huntsville
Alabama State University,AL,Montgomery
The University of Alabama,AL,Tuscaloosa
Central Alabama Community College,AL,Alexander City
Athens State University,AL,Athens
Auburn University-Montgomery,AL,Montgomery
Auburn University Main Campus,AL,Auburn University
Birmingham Southern College,AL,Birmingham
Chattahoochee Valley Community College,AL,Phenix City
Concordia College Alabama,AL,Selma
South University-Montgomery,AL,Montgomery
DCH Regional Medical Center,AL,Tuscaloosa
Enterprise State Community College,AL,Enterprise
James H Faulkner State Community College,AL,Bay Minette
Faulkner University,AL,Montgomery
Gadsden Business College,AL,Rainbow City
Gadsden State Community College,AL,Gadsden
George C Wallace Community College - Dothan,AL,Dothan
Wallace State Community College  - Hanceville,AL,Hanceville
George Corley Wallace State Community College - Selma,AL,Selma
Huntingdon College,AL,Montgomery
Huntsville Hospital,AL,Huntsville
Heritage Christian University,AL,Florence
J F Drake State Technical College,AL,Huntsville
J F Ingram State Technical College,AL,Deatsville
Jacksonville State University,AL,Jacksonville
Jefferson Davis Community College,AL,Brewton
Jefferson State Community College,AL,Birmingham
John C Calhoun State Community College,AL,Tanner
Judson College,AL,Marion
University of West Alabama,AL,Livingston
Lurleen B Wallace Community College,AL,Andalusia
Marion Military Institute,AL,Marion
Pivot Point the Masters,AL,Huntsville
Miles College,AL,Fairfield
University of Mobile,AL,Mobile
University of Montevallo,AL,Montevallo
Northwest-Shoals Community College - Muscle Shoals,AL,Muscle Shoals
University of North Alabama,AL,Florence
Northeast Alabama Community College,AL,Rainsville
Northwest-Shoals Community College - Phil Campbell,AL,Phil Campbell
Oakwood University,AL,Huntsville
Alabama Southern Community College,AL,Monroeville
Prince Institute - Southeast,AL,Montgomery
Reid State Technical College,AL,Evergreen
Bishop State Community College,AL,Mobile
Samford University,AL,Birmingham
Shelton State Community College,AL,Tuscaloosa
Snead State Community College,AL,Boaz
University of South Alabama,AL,Mobile
Southern Community College,AL,Tuskegee
Spring Hill College,AL,Mobile
Southeastern Bible College,AL,Birmingham
Stillman College,AL,Tuscaloosa
Talladega College,AL,Talladega
H Councill Trenholm State Technical College,AL,Montgomery
Troy University,AL,Troy
Tuskegee University,AL,Tuskegee
United States Sports Academy,AL,Daphne
Bevill State Community College,AL,Sumiton
Gaither and Company Beauty College,AL,Scottsboro
Southern Union State Community College,AL,Wadley
Remington College - Mobile Campus,AL,Mobile
Alabama State College of Barber Styling,AL,Birmingham
Fortis College - Mobile,AL,Mobile
Physicians Medical Center Carraway,AL,Birmingham
Virginia College - Birmingham,AL,Birmingham
Fortis College - Foley,AL,Foley
Southeastern School of Cosmetology,AL,Midfield
Virginia College Technical,AL,Pelham
Blue Cliff Career College,AL,Mobile
John Weinaker Montessori School (AMS),AL,Mobile
Montgomery Job Corps Center,AL,Montgomery
U.S. Army Ordnance Munitions and Electronics Maintence School,AL,Redstone Arsenal
Baptist Medical Center South,AL,Montgomery
Air University Extension Course Program,AL,Maxwell AFB-Gunter Annex
American Sentinel University - Birmingham,AL,Birmingham
Columbia Southern University,AL,Orange Beach
Huntsville Bible College,AL,Huntsville
Cardiac & Vascular Institute of Ultrasound,AL,Mobile
Selma University,AL,Selma
Virginia College School of Construction,AL,Birmingham
Crestwood Medical Center,AL,Huntsville
T.A. Lawson State Community College,AL,Birmingham
Air University,AL,Maxwell AFB
Tuscaloosa VAMC Residency in Hospital-Based Optometry,AL,Tuscaloosa
University of Alabama at Birmingham Residency in Pediatric Optometry,AL,Birmingham
Central Alabama Veterans Health Care System Psychology Internship,AL,Tuskegee
Toni Love's Cosmetology Training Center,AL,Moundville
Golden State College,AL,Birmingham
University of Alabama at Birmingham Residency in Cornea and Contact Lenses,AL,Birmingham
University of Alabama at Birmingham Residency in Family Practice Optometry,AL,Birmingham
Covert & Associates Dale Carnegie Training,AL,Huntsville
Morning Pilgrim Baptist Church,AL,Montgomery
The Ingalls Center of Pastoral Ministries,AL,Birmingham
The University Hospital in Birmingham,AL,Birmingham
Xcell Academy - A Paul Mitchell Partner School,AL,Hoover
Veterans Affairs Medical Center/Birmingham Advanced Education in General Dentistry 12 Months,AL,Birmingham
Birmingham VAMC Residency in Geriatric Optometry,AL,Birmingham
Alabama Aviation College,AL,Ozark
Paul Mitchell The School Huntsville,AL,Madison
